Dataset Name,Image Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Cell Line],Term Source 2 REF,Term Source 2 Accession,Comment [Gene Identifier],Comment [Gene Symbol],Comment [Protein Name],Comment [UniProt ID],Primary Antibody Identifier,Comment [Primary Antibody],Experimental Condition [Secondary Antibody],Secondary Antibody Identifier,Source Name,Image File,Comment [Image File Path],Comment [Image File Comments],Comment [Image File Type],Channels
A375_EIF4G1,A375_1_EIF4G1_Z-stack_HF_01_2024-03-06_YunHao_18.24.46.zarr,Homo sapiens,NCBITaxon,9606,A375,EFO,EFO_0002103,ENSG00000114867,EIF4G1,EIF4G1,Q04637,HPA028487,Atlas Antibodies,Alexa488 (Anti-rabbit Alexa488),Thermo A11034,A375_EIF4G1_01,A375_1_EIF4G1_Z-stack_HF_01_2024-03-06_YunHao_18.24.46.zarr.zip,A375_1_EIF4G1_Z-stack_HF_01_2024-03-06_YunHao_18.24.46.zarr.zip,,raw,DAPI-Nucleus; Alexa488-EIF4G1; Alexa555-a-Tubulin; Alexa647-Calreticulin
A375_EIF4G1,A375_1_EIF4G1_Z-stack_HF_02_2024-03-06_YunHao_18.23.15.zarr,Homo sapiens,NCBITaxon,9606,A375,EFO,EFO_0002103,ENSG00000114867,EIF4G1,EIF4G1,Q04637,HPA028487,Atlas Antibodies,Alexa488 (Anti-rabbit Alexa488),Thermo A11034,A375_EIF4G1_02,A375_1_EIF4G1_Z-stack_HF_02_2024-03-06_YunHao_18.23.15.zarr.zip,A375_1_EIF4G1_Z-stack_HF_02_2024-03-06_YunHao_18.23.15.zarr.zip,,raw,DAPI-Nucleus; Alexa488-EIF4G1; Alexa555-a-Tubulin; Alexa647-Calreticulin
A375_EIF4G1,A375_1_EIF4G1_Z-stack_HF_03_2024-03-06_YunHao_18.14.07.zarr,Homo sapiens,NCBITaxon,9606,A375,EFO,EFO_0002103,ENSG00000114867,EIF4G1,EIF4G1,Q04637,HPA028487,Atlas Antibodies,Alexa488 (Anti-rabbit Alexa488),Thermo A11034,A375_EIF4G1_03,A375_1_EIF4G1_Z-stack_HF_03_2024-03-06_YunHao_18.14.07.zarr.zip,A375_1_EIF4G1_Z-stack_HF_03_2024-03-06_YunHao_18.14.07.zarr.zip,,raw,DAPI-Nucleus; Alexa488-EIF4G1; Alexa555-a-Tubulin; Alexa647-Calreticulin
A375_EIF4G1,A375_1_EIF4G1_Z-stack_HF_04_2024-03-06_YunHao_18.12.22.zarr,Homo sapiens,NCBITaxon,9606,A375,EFO,EFO_0002103,ENSG00000114867,EIF4G1,EIF4G1,Q04637,HPA028487,Atlas Antibodies,Alexa488 (Anti-rabbit Alexa488),Thermo A11034,A375_EIF4G1_04,A375_1_EIF4G1_Z-stack_HF_04_2024-03-06_YunHao_18.12.22.zarr.zip,A375_1_EIF4G1_Z-stack_HF_04_2024-03-06_YunHao_18.12.22.zarr.zip,,raw,DAPI-Nucleus; Alexa488-EIF4G1; Alexa555-a-Tubulin; Alexa647-Calreticulin
A375_EIF4G1,A375_1_EIF4G1_Z-stack_HF_05_2024-03-06_YunHao_18.10.48.zarr,Homo sapiens,NCBITaxon,9606,A375,EFO,EFO_0002103,ENSG00000114867,EIF4G1,EIF4G1,Q04637,HPA028487,Atlas Antibodies,Alexa488 (Anti-rabbit Alexa488),Thermo A11034,A375_EIF4G1_05,A375_1_EIF4G1_Z-stack_HF_05_2024-03-06_YunHao_18.10.48.zarr.zip,A375_1_EIF4G1_Z-stack_HF_05_2024-03-06_YunHao_18.10.48.zarr.zip,,raw,DAPI-Nucleus; Alexa488-EIF4G1; Alexa555-a-Tubulin; Alexa647-Calreticulin
A375_EIF4G1,A375_1_EIF4G1_Z-stack_HF_06_2024-03-06_YunHao_18.08.10.zarr,Homo sapiens,NCBITaxon,9606,A375,EFO,EFO_0002103,ENSG00000114867,EIF4G1,EIF4G1,Q04637,HPA028487,Atlas Antibodies,Alexa488 (Anti-rabbit Alexa488),Thermo A11034,A375_EIF4G1_06,A375_1_EIF4G1_Z-stack_HF_06_2024-03-06_YunHao_18.08.10.zarr.zip,A375_1_EIF4G1_Z-stack_HF_06_2024-03-06_YunHao_18.08.10.zarr.zip,,raw,DAPI-Nucleus; Alexa488-EIF4G1; Alexa555-a-Tubulin; Alexa647-Calreticulin
A375_EIF4G1,A375_1_EIF4G1_Z-stack_HF_07_2024-03-06_YunHao_18.26.15.zarr,Homo sapiens,NCBITaxon,9606,A375,EFO,EFO_0002103,ENSG00000114867,EIF4G1,EIF4G1,Q04637,HPA028487,Atlas Antibodies,Alexa488 (Anti-rabbit Alexa488),Thermo A11034,A375_EIF4G1_07,A375_1_EIF4G1_Z-stack_HF_07_2024-03-06_YunHao_18.26.15.zarr.zip,A375_1_EIF4G1_Z-stack_HF_07_2024-03-06_YunHao_18.26.15.zarr.zip,,raw,DAPI-Nucleus; Alexa488-EIF4G1; Alexa555-a-Tubulin; Alexa647-Calreticulin
A375_EIF4G1,A375_1_EIF4G1_Z-stack_HF_08_2024-03-06_YunHao_18.27.39.zarr,Homo sapiens,NCBITaxon,9606,A375,EFO,EFO_0002103,ENSG00000114867,EIF4G1,EIF4G1,Q04637,HPA028487,Atlas Antibodies,Alexa488 (Anti-rabbit Alexa488),Thermo A11034,A375_EIF4G1_08,A375_1_EIF4G1_Z-stack_HF_08_2024-03-06_YunHao_18.27.39.zarr.zip,A375_1_EIF4G1_Z-stack_HF_08_2024-03-06_YunHao_18.27.39.zarr.zip,,raw,DAPI-Nucleus; Alexa488-EIF4G1; Alexa555-a-Tubulin; Alexa647-Calreticulin
A375_DDIT3,A375_2_DDIT3_Z-stack_HF_01_2024-03-06_YunHao_19.24.15.zarr,Homo sapiens,NCBITaxon,9606,A375,EFO,EFO_0002103,ENSG00000175197,DDIT3,DDIT3,P35638,HPA058416,Atlas Antibodies,Alexa488 (Anti-rabbit Alexa488),Thermo A11034,A375_DDIT3_01,A375_2_DDIT3_Z-stack_HF_01_2024-03-06_YunHao_19.24.15.zarr.zip,A375_2_DDIT3_Z-stack_HF_01_2024-03-06_YunHao_19.24.15.zarr.zip,,raw,DAPI-Nucleus; Alexa488-DDIT3; Alexa555-a-Tubulin; Alexa647-Calreticulin
A375_DDIT3,A375_2_DDIT3_Z-stack_HF_02_2024-03-06_YunHao_19.26.02.zarr,Homo sapiens,NCBITaxon,9606,A375,EFO,EFO_0002103,ENSG00000175197,DDIT3,DDIT3,P35638,HPA058416,Atlas Antibodies,Alexa488 (Anti-rabbit Alexa488),Thermo A11034,A375_DDIT3_02,A375_2_DDIT3_Z-stack_HF_02_2024-03-06_YunHao_19.26.02.zarr.zip,A375_2_DDIT3_Z-stack_HF_02_2024-03-06_YunHao_19.26.02.zarr.zip,,raw,DAPI-Nucleus; Alexa488-DDIT3; Alexa555-a-Tubulin; Alexa647-Calreticulin
A375_DDIT3,A375_2_DDIT3_Z-stack_HF_03_2024-03-06_YunHao_19.28.29.zarr,Homo sapiens,NCBITaxon,9606,A375,EFO,EFO_0002103,ENSG00000175197,DDIT3,DDIT3,P35638,HPA058416,Atlas Antibodies,Alexa488 (Anti-rabbit Alexa488),Thermo A11034,A375_DDIT3_03,A375_2_DDIT3_Z-stack_HF_03_2024-03-06_YunHao_19.28.29.zarr.zip,A375_2_DDIT3_Z-stack_HF_03_2024-03-06_YunHao_19.28.29.zarr.zip,,raw,DAPI-Nucleus; Alexa488-DDIT3; Alexa555-a-Tubulin; Alexa647-Calreticulin
