Dataset Name,Image Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Cell Line],Term Source 2 REF,Term Source 2 Accession,Comment [Gene Identifier],Comment [Gene Symbol],Comment [Protein Name],Comment [UniProt ID],Primary Antibody Identifier,Comment [Primary Antibody],Experimental Condition [Secondary Antibody],Secondary Antibody Identifier,Source Name,Image File,Comment [Image File Path],Comment [Image File Comments],Comment [Image File Type],Channels
A375_EIF4G1,A375_1_EIF4G1_Z-stack_HF_01_2024-03-06_YunHao_18.24.46.zarr,Homo sapiens,NCBITaxon,9606,A375,EFO,EFO_0002103,ENSG00000114867,EIF4G1,EIF4G1,Q04637,HPA028487,Atlas Antibodies,Alexa488 (Anti-rabbit Alexa488),Thermo A11034,A375_EIF4G1_01,A375_1_EIF4G1_Z-stack_HF_01_2024-03-06_YunHao_18.24.46.zarr.zip,A375_1_EIF4G1_Z-stack_HF_01_2024-03-06_YunHao_18.24.46.zarr.zip,,raw,DAPI-Nucleus; Alexa488-EIF4G1; Alexa555-a-Tubulin; Alexa647-Calreticulin
A375_DDIT3,A375_2_DDIT3_Z-stack_HF_04_2024-03-06_YunHao_19.30.24.zarr,Homo sapiens,NCBITaxon,9606,A375,EFO,EFO_0002103,ENSG00000175197,DDIT3,DDIT3,P35638,HPA058416,Atlas Antibodies,Alexa488 (Anti-rabbit Alexa488),Thermo A11034,A375_DDIT3_04,A375_2_DDIT3_Z-stack_HF_04_2024-03-06_YunHao_19.30.24.zarr.zip,A375_2_DDIT3_Z-stack_HF_04_2024-03-06_YunHao_19.30.24.zarr.zip,,raw,DAPI-Nucleus; Alexa488-DDIT3; Alexa555-a-Tubulin; Alexa647-Calreticulin
A375_DDIT3,A375_2_DDIT3_Z-stack_HF_05_2024-03-06_YunHao_19.31.45.zarr,Homo sapiens,NCBITaxon,9606,A375,EFO,EFO_0002103,ENSG00000175197,DDIT3,DDIT3,P35638,HPA058416,Atlas Antibodies,Alexa488 (Anti-rabbit Alexa488),Thermo A11034,A375_DDIT3_05,A375_2_DDIT3_Z-stack_HF_05_2024-03-06_YunHao_19.31.45.zarr.zip,A375_2_DDIT3_Z-stack_HF_05_2024-03-06_YunHao_19.31.45.zarr.zip,,raw,DAPI-Nucleus; Alexa488-DDIT3; Alexa555-a-Tubulin; Alexa647-Calreticulin
A375_DDIT3,A375_2_DDIT3_Z-stack_HF_06_2024-03-06_YunHao_19.33.07.zarr,Homo sapiens,NCBITaxon,9606,A375,EFO,EFO_0002103,ENSG00000175197,DDIT3,DDIT3,P35638,HPA058416,Atlas Antibodies,Alexa488 (Anti-rabbit Alexa488),Thermo A11034,A375_DDIT3_06,A375_2_DDIT3_Z-stack_HF_06_2024-03-06_YunHao_19.33.07.zarr.zip,A375_2_DDIT3_Z-stack_HF_06_2024-03-06_YunHao_19.33.07.zarr.zip,,raw,DAPI-Nucleus; Alexa488-DDIT3; Alexa555-a-Tubulin; Alexa647-Calreticulin
A375_N4BP2,A375_3_N4BP2_Z-stack_HF_01_2024-03-06_YunHao_20.23.02.zarr,Homo sapiens,NCBITaxon,9606,A375,EFO,EFO_0002103,ENSG00000078177,N4BP2,N4BP2,Q86UW6,HPA042607,Atlas Antibodies,Alexa488 (Anti-rabbit Alexa488),Thermo A11034,A375_N4BP2_01,A375_3_N4BP2_Z-stack_HF_01_2024-03-06_YunHao_20.23.02.zarr.zip,A375_3_N4BP2_Z-stack_HF_01_2024-03-06_YunHao_20.23.02.zarr.zip,,raw,DAPI-Nucleus; Alexa488-N4BP2; Alexa555-a-Tubulin; Alexa647-Calreticulin
A375_N4BP2,A375_3_N4BP2_Z-stack_HF_02_2024-03-06_YunHao_20.21.31.zarr,Homo sapiens,NCBITaxon,9606,A375,EFO,EFO_0002103,ENSG00000078177,N4BP2,N4BP2,Q86UW6,HPA042607,Atlas Antibodies,Alexa488 (Anti-rabbit Alexa488),Thermo A11034,A375_N4BP2_02,A375_3_N4BP2_Z-stack_HF_02_2024-03-06_YunHao_20.21.31.zarr.zip,A375_3_N4BP2_Z-stack_HF_02_2024-03-06_YunHao_20.21.31.zarr.zip,,raw,DAPI-Nucleus; Alexa488-N4BP2; Alexa555-a-Tubulin; Alexa647-Calreticulin
A375_N4BP2,A375_3_N4BP2_Z-stack_HF_03_2024-03-06_YunHao_20.20.18.zarr,Homo sapiens,NCBITaxon,9606,A375,EFO,EFO_0002103,ENSG00000078177,N4BP2,N4BP2,Q86UW6,HPA042607,Atlas Antibodies,Alexa488 (Anti-rabbit Alexa488),Thermo A11034,A375_N4BP2_03,A375_3_N4BP2_Z-stack_HF_03_2024-03-06_YunHao_20.20.18.zarr.zip,A375_3_N4BP2_Z-stack_HF_03_2024-03-06_YunHao_20.20.18.zarr.zip,,raw,DAPI-Nucleus; Alexa488-N4BP2; Alexa555-a-Tubulin; Alexa647-Calreticulin
A375_N4BP2,A375_3_N4BP2_Z-stack_HF_04_2024-03-06_YunHao_20.18.43.zarr,Homo sapiens,NCBITaxon,9606,A375,EFO,EFO_0002103,ENSG00000078177,N4BP2,N4BP2,Q86UW6,HPA042607,Atlas Antibodies,Alexa488 (Anti-rabbit Alexa488),Thermo A11034,A375_N4BP2_04,A375_3_N4BP2_Z-stack_HF_04_2024-03-06_YunHao_20.18.43.zarr.zip,A375_3_N4BP2_Z-stack_HF_04_2024-03-06_YunHao_20.18.43.zarr.zip,,raw,DAPI-Nucleus; Alexa488-N4BP2; Alexa555-a-Tubulin; Alexa647-Calreticulin
A375_N4BP2,A375_3_N4BP2_Z-stack_HF_05_2024-03-06_YunHao_20.17.11.zarr,Homo sapiens,NCBITaxon,9606,A375,EFO,EFO_0002103,ENSG00000078177,N4BP2,N4BP2,Q86UW6,HPA042607,Atlas Antibodies,Alexa488 (Anti-rabbit Alexa488),Thermo A11034,A375_N4BP2_05,A375_3_N4BP2_Z-stack_HF_05_2024-03-06_YunHao_20.17.11.zarr.zip,A375_3_N4BP2_Z-stack_HF_05_2024-03-06_YunHao_20.17.11.zarr.zip,,raw,DAPI-Nucleus; Alexa488-N4BP2; Alexa555-a-Tubulin; Alexa647-Calreticulin
A375_N4BP2,A375_3_N4BP2_Z-stack_HF_06_2024-03-06_YunHao_20.15.56.zarr,Homo sapiens,NCBITaxon,9606,A375,EFO,EFO_0002103,ENSG00000078177,N4BP2,N4BP2,Q86UW6,HPA042607,Atlas Antibodies,Alexa488 (Anti-rabbit Alexa488),Thermo A11034,A375_N4BP2_06,A375_3_N4BP2_Z-stack_HF_06_2024-03-06_YunHao_20.15.56.zarr.zip,A375_3_N4BP2_Z-stack_HF_06_2024-03-06_YunHao_20.15.56.zarr.zip,,raw,DAPI-Nucleus; Alexa488-N4BP2; Alexa555-a-Tubulin; Alexa647-Calreticulin
A375_CHID1,A375_4_CHID1_Z-stack_HF_01_2024-03-06_YunHao_21.24.34.zarr,Homo sapiens,NCBITaxon,9606,A375,EFO,EFO_0002103,ENSG00000177830,CHID1,CHID1,Q9BWS9,HPA039374,Atlas Antibodies,Alexa488 (Anti-rabbit Alexa488),Thermo A11034,A375_CHID1_01,A375_4_CHID1_Z-stack_HF_01_2024-03-06_YunHao_21.24.34.zarr.zip,A375_4_CHID1_Z-stack_HF_01_2024-03-06_YunHao_21.24.34.zarr.zip,,raw,DAPI-Nucleus; Alexa488-CHID1; Alexa555-a-Tubulin; Alexa647-Calreticulin
A375_CHID1,A375_4_CHID1_Z-stack_HF_02_2024-03-06_YunHao_21.26.07.zarr,Homo sapiens,NCBITaxon,9606,A375,EFO,EFO_0002103,ENSG00000177830,CHID1,CHID1,Q9BWS9,HPA039374,Atlas Antibodies,Alexa488 (Anti-rabbit Alexa488),Thermo A11034,A375_CHID1_02,A375_4_CHID1_Z-stack_HF_02_2024-03-06_YunHao_21.26.07.zarr.zip,A375_4_CHID1_Z-stack_HF_02_2024-03-06_YunHao_21.26.07.zarr.zip,,raw,DAPI-Nucleus; Alexa488-CHID1; Alexa555-a-Tubulin; Alexa647-Calreticulin
A375_CHID1,A375_4_CHID1_Z-stack_HF_03_2024-03-06_YunHao_21.27.25.zarr,Homo sapiens,NCBITaxon,9606,A375,EFO,EFO_0002103,ENSG00000177830,CHID1,CHID1,Q9BWS9,HPA039374,Atlas Antibodies,Alexa488 (Anti-rabbit Alexa488),Thermo A11034,A375_CHID1_03,A375_4_CHID1_Z-stack_HF_03_2024-03-06_YunHao_21.27.25.zarr.zip,A375_4_CHID1_Z-stack_HF_03_2024-03-06_YunHao_21.27.25.zarr.zip,,raw,DAPI-Nucleus; Alexa488-CHID1; Alexa555-a-Tubulin; Alexa647-Calreticulin
A375_CHID1,A375_4_CHID1_Z-stack_HF_04_2024-03-06_YunHao_21.28.48.zarr,Homo sapiens,NCBITaxon,9606,A375,EFO,EFO_0002103,ENSG00000177830,CHID1,CHID1,Q9BWS9,HPA039374,Atlas Antibodies,Alexa488 (Anti-rabbit Alexa488),Thermo A11034,A375_CHID1_04,A375_4_CHID1_Z-stack_HF_04_2024-03-06_YunHao_21.28.48.zarr.zip,A375_4_CHID1_Z-stack_HF_04_2024-03-06_YunHao_21.28.48.zarr.zip,,raw,DAPI-Nucleus; Alexa488-CHID1; Alexa555-a-Tubulin; Alexa647-Calreticulin
A375_CHID1,A375_4_CHID1_Z-stack_HF_05_2024-03-06_YunHao_21.30.20.zarr,Homo sapiens,NCBITaxon,9606,A375,EFO,EFO_0002103,ENSG00000177830,CHID1,CHID1,Q9BWS9,HPA039374,Atlas Antibodies,Alexa488 (Anti-rabbit Alexa488),Thermo A11034,A375_CHID1_05,A375_4_CHID1_Z-stack_HF_05_2024-03-06_YunHao_21.30.20.zarr.zip,A375_4_CHID1_Z-stack_HF_05_2024-03-06_YunHao_21.30.20.zarr.zip,,raw,DAPI-Nucleus; Alexa488-CHID1; Alexa555-a-Tubulin; Alexa647-Calreticulin
A375_CHID1,A375_4_CHID1_Z-stack_HF_06_2024-03-06_YunHao_21.32.01.zarr,Homo sapiens,NCBITaxon,9606,A375,EFO,EFO_0002103,ENSG00000177830,CHID1,CHID1,Q9BWS9,HPA039374,Atlas Antibodies,Alexa488 (Anti-rabbit Alexa488),Thermo A11034,A375_CHID1_06,A375_4_CHID1_Z-stack_HF_06_2024-03-06_YunHao_21.32.01.zarr.zip,A375_4_CHID1_Z-stack_HF_06_2024-03-06_YunHao_21.32.01.zarr.zip,,raw,DAPI-Nucleus; Alexa488-CHID1; Alexa555-a-Tubulin; Alexa647-Calreticulin
A375_COPA,A375_5_COPA_Z-stack_HF_01_2024-03-06_YunHao_22.32.39.zarr,Homo sapiens,NCBITaxon,9606,A375,EFO,EFO_0002103,ENSG00000122218,COPA,COPA,P53621,HPA028024,Atlas Antibodies,Alexa488 (Anti-rabbit Alexa488),Thermo A11034,A375_COPA_01,A375_5_COPA_Z-stack_HF_01_2024-03-06_YunHao_22.32.39.zarr.zip,A375_5_COPA_Z-stack_HF_01_2024-03-06_YunHao_22.32.39.zarr.zip,,raw,DAPI-Nucleus; Alexa488-COPA; Alexa555-a-Tubulin; Alexa647-Calreticulin
A375_COPA,A375_5_COPA_Z-stack_HF_02_2024-03-06_YunHao_22.30.52.zarr,Homo sapiens,NCBITaxon,9606,A375,EFO,EFO_0002103,ENSG00000122218,COPA,COPA,P53621,HPA028024,Atlas Antibodies,Alexa488 (Anti-rabbit Alexa488),Thermo A11034,A375_COPA_02,A375_5_COPA_Z-stack_HF_02_2024-03-06_YunHao_22.30.52.zarr.zip,A375_5_COPA_Z-stack_HF_02_2024-03-06_YunHao_22.30.52.zarr.zip,,raw,DAPI-Nucleus; Alexa488-COPA; Alexa555-a-Tubulin; Alexa647-Calreticulin
A375_COPA,A375_5_COPA_Z-stack_HF_03_2024-03-06_YunHao_22.29.14.zarr,Homo sapiens,NCBITaxon,9606,A375,EFO,EFO_0002103,ENSG00000122218,COPA,COPA,P53621,HPA028024,Atlas Antibodies,Alexa488 (Anti-rabbit Alexa488),Thermo A11034,A375_COPA_03,A375_5_COPA_Z-stack_HF_03_2024-03-06_YunHao_22.29.14.zarr.zip,A375_5_COPA_Z-stack_HF_03_2024-03-06_YunHao_22.29.14.zarr.zip,,raw,DAPI-Nucleus; Alexa488-COPA; Alexa555-a-Tubulin; Alexa647-Calreticulin
A375_COPA,A375_5_COPA_Z-stack_HF_04_2024-03-06_YunHao_22.28.01.zarr,Homo sapiens,NCBITaxon,9606,A375,EFO,EFO_0002103,ENSG00000122218,COPA,COPA,P53621,HPA028024,Atlas Antibodies,Alexa488 (Anti-rabbit Alexa488),Thermo A11034,A375_COPA_04,A375_5_COPA_Z-stack_HF_04_2024-03-06_YunHao_22.28.01.zarr.zip,A375_5_COPA_Z-stack_HF_04_2024-03-06_YunHao_22.28.01.zarr.zip,,raw,DAPI-Nucleus; Alexa488-COPA; Alexa555-a-Tubulin; Alexa647-Calreticulin
A375_COPA,A375_5_COPA_Z-stack_HF_05_2024-03-06_YunHao_22.26.53.zarr,Homo sapiens,NCBITaxon,9606,A375,EFO,EFO_0002103,ENSG00000122218,COPA,COPA,P53621,HPA028024,Atlas Antibodies,Alexa488 (Anti-rabbit Alexa488),Thermo A11034,A375_COPA_05,A375_5_COPA_Z-stack_HF_05_2024-03-06_YunHao_22.26.53.zarr.zip,A375_5_COPA_Z-stack_HF_05_2024-03-06_YunHao_22.26.53.zarr.zip,,raw,DAPI-Nucleus; Alexa488-COPA; Alexa555-a-Tubulin; Alexa647-Calreticulin
A375_COPA,A375_5_COPA_Z-stack_HF_06_2024-03-06_YunHao_22.25.32.zarr,Homo sapiens,NCBITaxon,9606,A375,EFO,EFO_0002103,ENSG00000122218,COPA,COPA,P53621,HPA028024,Atlas Antibodies,Alexa488 (Anti-rabbit Alexa488),Thermo A11034,A375_COPA_06,A375_5_COPA_Z-stack_HF_06_2024-03-06_YunHao_22.25.32.zarr.zip,A375_5_COPA_Z-stack_HF_06_2024-03-06_YunHao_22.25.32.zarr.zip,,raw,DAPI-Nucleus; Alexa488-COPA; Alexa555-a-Tubulin; Alexa647-Calreticulin
A375_ATP13A5,A375_6_ATP13A5_Z-stack_HF_01_2024-03-06_YunHao_23.31.23.zarr,Homo sapiens,NCBITaxon,9606,A375,EFO,EFO_0002103,ENSG00000187527,ATP13A5,ATP13A5,Q4VNC0,HPA031772,Atlas Antibodies,Alexa488 (Anti-rabbit Alexa488),Thermo A11034,A375_ATP13A5_01,A375_6_ATP13A5_Z-stack_HF_01_2024-03-06_YunHao_23.31.23.zarr.zip,A375_6_ATP13A5_Z-stack_HF_01_2024-03-06_YunHao_23.31.23.zarr.zip,,raw,DAPI-Nucleus; Alexa488-ATP13A5; Alexa555-a-Tubulin; Alexa647-Calreticulin
A375_ATP13A5,A375_6_ATP13A5_Z-stack_HF_02_2024-03-06_YunHao_23.34.35.zarr,Homo sapiens,NCBITaxon,9606,A375,EFO,EFO_0002103,ENSG00000187527,ATP13A5,ATP13A5,Q4VNC0,HPA031772,Atlas Antibodies,Alexa488 (Anti-rabbit Alexa488),Thermo A11034,A375_ATP13A5_02,A375_6_ATP13A5_Z-stack_HF_02_2024-03-06_YunHao_23.34.35.zarr.zip,A375_6_ATP13A5_Z-stack_HF_02_2024-03-06_YunHao_23.34.35.zarr.zip,,raw,DAPI-Nucleus; Alexa488-ATP13A5; Alexa555-a-Tubulin; Alexa647-Calreticulin
A375_ATP13A5,A375_6_ATP13A5_Z-stack_HF_03_2024-03-06_YunHao_23.36.22.zarr,Homo sapiens,NCBITaxon,9606,A375,EFO,EFO_0002103,ENSG00000187527,ATP13A5,ATP13A5,Q4VNC0,HPA031772,Atlas Antibodies,Alexa488 (Anti-rabbit Alexa488),Thermo A11034,A375_ATP13A5_03,A375_6_ATP13A5_Z-stack_HF_03_2024-03-06_YunHao_23.36.22.zarr.zip,A375_6_ATP13A5_Z-stack_HF_03_2024-03-06_YunHao_23.36.22.zarr.zip,,raw,DAPI-Nucleus; Alexa488-ATP13A5; Alexa555-a-Tubulin; Alexa647-Calreticulin
A375_ATP13A5,A375_6_ATP13A5_Z-stack_HF_04_2024-03-06_YunHao_23.37.34.zarr,Homo sapiens,NCBITaxon,9606,A375,EFO,EFO_0002103,ENSG00000187527,ATP13A5,ATP13A5,Q4VNC0,HPA031772,Atlas Antibodies,Alexa488 (Anti-rabbit Alexa488),Thermo A11034,A375_ATP13A5_04,A375_6_ATP13A5_Z-stack_HF_04_2024-03-06_YunHao_23.37.34.zarr.zip,A375_6_ATP13A5_Z-stack_HF_04_2024-03-06_YunHao_23.37.34.zarr.zip,,raw,DAPI-Nucleus; Alexa488-ATP13A5; Alexa555-a-Tubulin; Alexa647-Calreticulin
A375_ATP13A5,A375_6_ATP13A5_Z-stack_HF_05_2024-03-06_YunHao_23.38.42.zarr,Homo sapiens,NCBITaxon,9606,A375,EFO,EFO_0002103,ENSG00000187527,ATP13A5,ATP13A5,Q4VNC0,HPA031772,Atlas Antibodies,Alexa488 (Anti-rabbit Alexa488),Thermo A11034,A375_ATP13A5_05,A375_6_ATP13A5_Z-stack_HF_05_2024-03-06_YunHao_23.38.42.zarr.zip,A375_6_ATP13A5_Z-stack_HF_05_2024-03-06_YunHao_23.38.42.zarr.zip,,raw,DAPI-Nucleus; Alexa488-ATP13A5; Alexa555-a-Tubulin; Alexa647-Calreticulin
A375_ATP13A5,A375_6_ATP13A5_Z-stack_HF_06_2024-03-06_YunHao_23.39.44.zarr,Homo sapiens,NCBITaxon,9606,A375,EFO,EFO_0002103,ENSG00000187527,ATP13A5,ATP13A5,Q4VNC0,HPA031772,Atlas Antibodies,Alexa488 (Anti-rabbit Alexa488),Thermo A11034,A375_ATP13A5_06,A375_6_ATP13A5_Z-stack_HF_06_2024-03-06_YunHao_23.39.44.zarr.zip,A375_6_ATP13A5_Z-stack_HF_06_2024-03-06_YunHao_23.39.44.zarr.zip,,raw,DAPI-Nucleus; Alexa488-ATP13A5; Alexa555-a-Tubulin; Alexa647-Calreticulin
A375_MESD,A375_7_MESD_Z-stack_HF_01_2024-03-07_YunHao_00.25.05.zarr,Homo sapiens,NCBITaxon,9606,A375,EFO,EFO_0002103,ENSG00000117899,MESD,MESD,Q14696,HPA039414,Atlas Antibodies,Alexa488 (Anti-rabbit Alexa488),Thermo A11034,A375_MESD_01,A375_7_MESD_Z-stack_HF_01_2024-03-07_YunHao_00.25.05.zarr.zip,A375_7_MESD_Z-stack_HF_01_2024-03-07_YunHao_00.25.05.zarr.zip,,raw,DAPI-Nucleus; Alexa488-MESD; Alexa555-a-Tubulin; Alexa647-Calreticulin
A375_MESD,A375_7_MESD_Z-stack_HF_02_2024-03-07_YunHao_00.26.17.zarr,Homo sapiens,NCBITaxon,9606,A375,EFO,EFO_0002103,ENSG00000117899,MESD,MESD,Q14696,HPA039414,Atlas Antibodies,Alexa488 (Anti-rabbit Alexa488),Thermo A11034,A375_MESD_02,A375_7_MESD_Z-stack_HF_02_2024-03-07_YunHao_00.26.17.zarr.zip,A375_7_MESD_Z-stack_HF_02_2024-03-07_YunHao_00.26.17.zarr.zip,,raw,DAPI-Nucleus; Alexa488-MESD; Alexa555-a-Tubulin; Alexa647-Calreticulin
A375_MESD,A375_7_MESD_Z-stack_HF_03_2024-03-07_YunHao_00.27.49.zarr,Homo sapiens,NCBITaxon,9606,A375,EFO,EFO_0002103,ENSG00000117899,MESD,MESD,Q14696,HPA039414,Atlas Antibodies,Alexa488 (Anti-rabbit Alexa488),Thermo A11034,A375_MESD_03,A375_7_MESD_Z-stack_HF_03_2024-03-07_YunHao_00.27.49.zarr.zip,A375_7_MESD_Z-stack_HF_03_2024-03-07_YunHao_00.27.49.zarr.zip,,raw,DAPI-Nucleus; Alexa488-MESD; Alexa555-a-Tubulin; Alexa647-Calreticulin
